Var,MeanDecreaseGini
percent_disc_last_12_mth,323.6042457
percent_disc_last_6_mth,274.4252043
gp_hit_ind_tot,268.046811
per_elec_comm,219.0920111
home_hit_ind_tot,209.2156478
num_em_campaign,202.0849732
gp_net_sales_amt_12_mth,196.8998017
num_txn_12mth,192.6884433
num_units_12mth,188.6419825
avg_order_amt_last_12_mth,188.3298551
num_units_6mth,178.610469
browse_hit_ind_tot,177.7653499
disc_ats,167.6864205
sale_hit_ind_tot,164.4789752
bag_add_ind_tot,158.8796988
avg_order_amt_last_6_mth,155.9853478
on_sale_item_qty_12mth,153.1133941
num_txn_6mth,148.3146878
num_order_num_last_12_mth,146.109112
on_sales_item_rev_12mth,140.9588049
non_disc_ats,139.506239
gp_on_net_sales_ratio,138.6629253
mobile_ind_tot,136.3856456
on_hit_ind_tot,131.4213454
Time_Since_last_purchase,130.0990788
Time_Since_last_disc_purchase,129.5132397
card_status,125.9422176
on_sales_rev_ratio_12mth,123.860183
br_hit_ind_tot,120.4423005
pct_off_hit_ind_tot,119.3016235
ratio_order_6_12_mth,117.2452122
purchased,116.1776861
ratio_disc_non_disc_ats,104.5860798
gp_br_sales_ratio,95.43822985
num_order_num_last_6_mth,90.27989196
ratio_order_units_6_12_mth,89.22467957
ratio_rev_wo_rewd_12mth,88.50997822
ratio_rev_rewd_12mth,85.68564964
num_disc_comm_responded,82.2201848
at_hit_ind_tot,77.48415568
num_dist_catg_purchased,71.74485111
gp_go_net_sales_ratio,66.02695723
clearance_hit_ind_tot,61.66809595
factory_hit_ind_tot,55.61214651
searchdex_ind_tot,54.64823152
total_plcc_cards,45.17974814
gp_bf_net_sales_ratio,33.45577533
markdown_hit_ind_tot,26.51671763
