"Loss Function","samplesize","run","nu","TPR","TNR","Accuracy","AUC","Concordance"
exponential,10000,1,0.1,0.7442,0.7206,0.7324,0.81512578,81.510448
exponential,10000,1,0.2,0.7454,0.7296,0.7375,0.817595100000001,81.757648
exponential,10000,1,0.3,0.7444,0.7302,0.7373,0.817681079999999,81.76636
exponential,10000,1,0.4,0.747,0.7262,0.7366,0.8192281,81.920232
exponential,10000,1,0.5,0.7488,0.731,0.7399,0.822267139999994,82.225512
exponential,10000,1,0.6,0.7516,0.7194,0.7355,0.818980819999998,81.8968
exponential,10000,1,0.7,0.7464,0.729,0.7377,0.821647480000005,82.163872
exponential,10000,1,0.8,0.7486,0.7296,0.7391,0.820498679999998,82.048812
exponential,10000,1,0.9,0.7518,0.7222,0.737,0.822918260000002,82.289304
exponential,10000,1,1,0.7534,0.726,0.7397,0.822939160000002,82.293116
exponential,10000,2,0.1,0.7286,0.7152,0.7219,0.79835986,79.83306
exponential,10000,2,0.2,0.7284,0.714,0.7212,0.800743319999999,80.073176
exponential,10000,2,0.3,0.7326,0.7164,0.7245,0.80173986,80.172712
exponential,10000,2,0.4,0.7304,0.7136,0.722,0.801965579999996,80.193484
exponential,10000,2,0.5,0.7338,0.7116,0.7227,0.804374239999997,80.435912
exponential,10000,2,0.6,0.7406,0.7112,0.7259,0.807854800000003,80.784516
exponential,10000,2,0.7,0.7422,0.71,0.7261,0.807798220000004,80.777424
exponential,10000,2,0.8,0.733,0.713,0.723,0.807791599999998,80.778472
exponential,10000,2,0.9,0.7492,0.7138,0.7315,0.809594499999999,80.95838
exponential,10000,2,1,0.7394,0.711,0.7252,0.80508794,80.50702
exponential,11000,1,0.1,0.733272727272727,0.730909090909091,0.732090909090909,0.812266016528927,81.2208991735537
exponential,11000,1,0.2,0.740181818181818,0.733090909090909,0.736636363636364,0.816335256198352,81.6326743801653
exponential,11000,1,0.3,0.743090909090909,0.736181818181818,0.739636363636364,0.816252247933883,81.6241256198347
exponential,11000,1,0.4,0.738,0.739636363636364,0.738818181818182,0.814834082644632,81.4814876033058
exponential,11000,1,0.5,0.747272727272727,0.736909090909091,0.742090909090909,0.81974085950413,81.9729388429752
exponential,11000,1,0.6,0.741090909090909,0.736909090909091,0.739,0.814456231404962,81.4446413223141
exponential,11000,1,0.7,0.750181818181818,0.727272727272727,0.738727272727273,0.818327900826445,81.8316727272727
exponential,11000,1,0.8,0.734727272727273,0.735818181818182,0.735272727272727,0.818606429752069,81.8590842975207
exponential,11000,1,0.9,0.741454545454545,0.730727272727273,0.736090909090909,0.816333322314046,81.6312363636364
exponential,11000,1,1,0.736909090909091,0.741636363636364,0.739272727272727,0.820736859504134,82.0717685950413
exponential,11000,2,0.1,0.741454545454545,0.721636363636364,0.731545454545454,0.811534380165292,81.1492561983471
exponential,11000,2,0.2,0.743818181818182,0.719090909090909,0.731454545454545,0.81392378512397,81.3900595041322
exponential,11000,2,0.3,0.749818181818182,0.712909090909091,0.731363636363636,0.811934809917355,81.1894975206612
exponential,11000,2,0.4,0.754,0.721636363636364,0.737818181818182,0.818461355371903,81.8449851239669
exponential,11000,2,0.5,0.754363636363636,0.727454545454545,0.740909090909091,0.818301355371901,81.8283768595041
exponential,11000,2,0.6,0.753272727272727,0.718,0.735636363636364,0.814628942148761,81.4612859504132
exponential,11000,2,0.7,0.745818181818182,0.715636363636364,0.730727272727273,0.811893305785123,81.1882016528926
exponential,11000,2,0.8,0.759636363636364,0.711272727272727,0.735454545454545,0.814516429752063,81.4497454545455
exponential,11000,2,0.9,0.752363636363636,0.718727272727273,0.735545454545455,0.81632360330579,81.6312661157025
exponential,11000,2,1,0.740363636363636,0.730545454545454,0.735454545454545,0.816106148760329,81.6082975206612
exponential,12000,1,0.1,0.729,0.714833333333333,0.721916666666667,0.796687944444442,79.6653722222222
exponential,12000,1,0.2,0.722666666666667,0.721166666666667,0.721916666666667,0.799119319444447,79.9089027777778
exponential,12000,1,0.3,0.736,0.715333333333333,0.725666666666667,0.801346430555557,80.1322472222222
exponential,12000,1,0.4,0.7375,0.715333333333333,0.726416666666667,0.802925888888888,80.2899027777778
exponential,12000,1,0.5,0.7345,0.711833333333333,0.723166666666667,0.798506638888886,79.8465444444444
exponential,12000,1,0.6,0.731166666666667,0.7205,0.725833333333333,0.802408499999999,80.2393111111111
exponential,12000,1,0.7,0.742166666666667,0.71,0.726083333333333,0.804053291666665,80.4040666666667
exponential,12000,1,0.8,0.726,0.722833333333333,0.724416666666667,0.803652083333333,80.3642777777778
exponential,12000,1,0.9,0.741166666666667,0.709833333333333,0.7255,0.805515819444446,80.5496305555556
exponential,12000,1,1,0.752333333333333,0.711666666666667,0.732,0.808312819444453,80.8308277777778
exponential,12000,2,0.1,0.728,0.7165,0.72225,0.800725666666667,80.0707527777778
exponential,12000,2,0.2,0.729,0.714833333333333,0.721916666666667,0.802671555555559,80.2654527777778
exponential,12000,2,0.3,0.732166666666667,0.718166666666667,0.725166666666667,0.804638722222225,80.4623972222222
exponential,12000,2,0.4,0.733666666666667,0.708833333333333,0.72125,0.803414166666668,80.3392833333333
exponential,12000,2,0.5,0.732666666666667,0.715,0.723833333333333,0.804369513888891,80.4348388888889
exponential,12000,2,0.6,0.743833333333333,0.7125,0.728166666666667,0.805772430555557,80.5748805555556
exponential,12000,2,0.7,0.740333333333333,0.710833333333333,0.725583333333333,0.805465152777774,80.5448611111111
exponential,12000,2,0.8,0.732333333333333,0.714,0.723166666666667,0.802841000000008,80.2819972222222
exponential,12000,2,0.9,0.746666666666667,0.7095,0.728083333333333,0.806113388888888,80.6093611111111
exponential,12000,2,1,0.740333333333333,0.703833333333333,0.722083333333333,0.804843597222224,80.4831027777778
exponential,13000,1,0.1,0.732923076923077,0.715692307692308,0.724307692307692,0.800936177514791,80.0848165680473
exponential,13000,1,0.2,0.73,0.718769230769231,0.724384615384615,0.801785834319526,80.1740142011834
exponential,13000,1,0.3,0.738923076923077,0.712615384615385,0.725769230769231,0.802384473372784,80.2344331360947
exponential,13000,1,0.4,0.739846153846154,0.711538461538462,0.725692307692308,0.804147597633133,80.4110650887574
exponential,13000,1,0.5,0.743538461538462,0.711538461538462,0.727538461538462,0.803297017751476,80.3251266272189
exponential,13000,1,0.6,0.736,0.713846153846154,0.724923076923077,0.803150248520713,80.3138650887574
exponential,13000,1,0.7,0.742615384615385,0.710153846153846,0.726384615384615,0.804832520710061,80.480575147929
exponential,13000,1,0.8,0.738,0.717230769230769,0.727615384615385,0.806549609467458,80.6522059171598
exponential,13000,1,0.9,0.744307692307692,0.710307692307692,0.727307692307692,0.806438260355031,80.640875739645
exponential,13000,1,1,0.738153846153846,0.710615384615385,0.724384615384615,0.800353668639055,80.0288591715976
exponential,13000,2,0.1,0.752307692307692,0.708153846153846,0.730230769230769,0.804738899408283,80.4625112426036
exponential,13000,2,0.2,0.749846153846154,0.708615384615385,0.729230769230769,0.806506544378702,80.6372165680473
exponential,13000,2,0.3,0.743692307692308,0.717230769230769,0.730461538461538,0.805737810650885,80.5676591715976
exponential,13000,2,0.4,0.748461538461539,0.712769230769231,0.730615384615385,0.807347372781065,80.7310319526627
exponential,13000,2,0.5,0.748769230769231,0.715384615384615,0.732076923076923,0.808294106508876,80.8223905325444
exponential,13000,2,0.6,0.750153846153846,0.713076923076923,0.731615384615385,0.809894153846155,80.9850177514793
exponential,13000,2,0.7,0.751846153846154,0.713384615384615,0.732615384615385,0.807874307692313,80.7806485207101
exponential,13000,2,0.8,0.752,0.711384615384615,0.731692307692308,0.809256331360948,80.9203905325444
exponential,13000,2,0.9,0.743692307692308,0.707076923076923,0.725384615384615,0.805932508875738,80.5906106508876
exponential,13000,2,1,0.751384615384615,0.714307692307692,0.732846153846154,0.811221550295859,81.1200615384615
exponential,14000,1,0.1,0.730857142857143,0.729571428571429,0.730214285714286,0.811544265306122,81.1491387755102
exponential,14000,1,0.2,0.741285714285714,0.725,0.733142857142857,0.814929346938777,81.4891632653061
exponential,14000,1,0.3,0.743428571428571,0.726142857142857,0.734785714285714,0.814797622448981,81.4741775510204
exponential,14000,1,0.4,0.738571428571429,0.726714285714286,0.732642857142857,0.813384632653056,81.3350244897959
exponential,14000,1,0.5,0.750571428571429,0.720142857142857,0.735357142857143,0.812620989795923,81.2557428571428
exponential,14000,1,0.6,0.732,0.731428571428571,0.731714285714286,0.815555204081633,81.5537979591837
exponential,14000,1,0.7,0.746,0.720285714285714,0.733142857142857,0.813767040816325,81.3692755102041
exponential,14000,1,0.8,0.741714285714286,0.723285714285714,0.7325,0.814175255102041,81.4136571428571
exponential,14000,1,0.9,0.755142857142857,0.718,0.736571428571429,0.813675091836737,81.3636448979592
exponential,14000,1,1,0.746428571428571,0.721714285714286,0.734071428571429,0.813642163265305,81.3612836734694
exponential,14000,2,0.1,0.732714285714286,0.713142857142857,0.722928571428571,0.800359469387753,80.0337693877551
exponential,14000,2,0.2,0.732285714285714,0.720285714285714,0.726285714285714,0.804484642857141,80.4449734693878
exponential,14000,2,0.3,0.732285714285714,0.713857142857143,0.723071428571429,0.800986867346932,80.0964081632653
exponential,14000,2,0.4,0.733857142857143,0.719857142857143,0.726857142857143,0.805619520408164,80.5602979591837
exponential,14000,2,0.5,0.730714285714286,0.724428571428571,0.727571428571429,0.805652040816322,80.5639816326531
exponential,14000,2,0.6,0.741857142857143,0.708857142857143,0.725357142857143,0.803113581632649,80.3093408163265
exponential,14000,2,0.7,0.721714285714286,0.725857142857143,0.723785714285714,0.803977969387754,80.3950612244898
exponential,14000,2,0.8,0.724,0.727428571428571,0.725714285714286,0.804669459183675,80.4655795918367
exponential,14000,2,0.9,0.728571428571429,0.720142857142857,0.724357142857143,0.805276846938774,80.5264755102041
exponential,14000,2,1,0.735,0.711714285714286,0.723357142857143,0.804355112244894,80.4342897959184
exponential,15000,1,0.1,0.743866666666667,0.7204,0.732133333333333,0.804696906666662,80.4607502222222
exponential,15000,1,0.2,0.744,0.7168,0.7304,0.804300666666664,80.4253422222222
exponential,15000,1,0.3,0.741866666666667,0.716933333333333,0.7294,0.805022079999999,80.499184
exponential,15000,1,0.4,0.742266666666667,0.7164,0.729333333333333,0.806396924444442,80.6368888888889
exponential,15000,1,0.5,0.747733333333333,0.7128,0.730266666666667,0.805958275555553,80.5934328888889
exponential,15000,1,0.6,0.7508,0.712,0.7314,0.806530675555554,80.6477208888889
exponential,15000,1,0.7,0.746133333333333,0.711866666666667,0.729,0.805765617777773,80.5681991111111
exponential,15000,1,0.8,0.754533333333333,0.711466666666667,0.733,0.808639244444442,80.8565617777778
exponential,15000,1,0.9,0.754,0.703333333333333,0.728666666666667,0.805666026666657,80.5625991111111
exponential,15000,1,1,0.747333333333333,0.709466666666667,0.7284,0.805730311111106,80.5693351111111
exponential,15000,2,0.1,0.742933333333333,0.714133333333333,0.728533333333333,0.803376915555554,80.3258613333333
exponential,15000,2,0.2,0.740533333333333,0.712933333333333,0.726733333333333,0.80489678222222,80.4836017777778
exponential,15000,2,0.3,0.735733333333333,0.720266666666667,0.728,0.804972222222214,80.4898524444444
exponential,15000,2,0.4,0.7372,0.715466666666667,0.726333333333333,0.803571306666666,80.3544177777778
exponential,15000,2,0.5,0.736533333333333,0.7152,0.725866666666667,0.802607813333327,80.2561831111111
exponential,15000,2,0.6,0.739333333333333,0.7144,0.726866666666667,0.805525742222221,80.5487253333333
exponential,15000,2,0.7,0.7404,0.7116,0.726,0.805593262222218,80.554832
exponential,15000,2,0.8,0.744933333333333,0.7148,0.729866666666667,0.806117448888885,80.602864
exponential,15000,2,0.9,0.739733333333333,0.7144,0.727066666666667,0.805506115555553,80.5467075555556
exponential,15000,2,1,0.738,0.713866666666667,0.725933333333333,0.804011653333328,80.3969688888889
logistic,10000,1,0.1,0.7382,0.718,0.7281,0.808455700000002,80.841472
logistic,10000,1,0.2,0.7384,0.725,0.7317,0.81272686,81.271608
logistic,10000,1,0.3,0.7356,0.73,0.7328,0.811819860000003,81.17968
logistic,10000,1,0.4,0.7402,0.73,0.7351,0.812948559999999,81.291696
logistic,10000,1,0.5,0.75,0.7172,0.7336,0.815404919999997,81.539004
logistic,10000,1,0.6,0.7498,0.7182,0.734,0.816188140000002,81.61792
logistic,10000,1,0.7,0.7596,0.7192,0.7394,0.81623894,81.62296
logistic,10000,1,0.8,0.7492,0.729,0.7391,0.817214940000001,81.720344
logistic,10000,1,0.9,0.7534,0.717,0.7352,0.819690320000002,81.968468
logistic,10000,1,1,0.7538,0.731,0.7424,0.820289219999999,82.02746
logistic,10000,2,0.1,0.7356,0.7156,0.7256,0.805349860000001,80.530756
logistic,10000,2,0.2,0.7422,0.7202,0.7312,0.809025419999999,80.897952
logistic,10000,2,0.3,0.7452,0.716,0.7306,0.80981114,80.979708
logistic,10000,2,0.4,0.7456,0.7124,0.729,0.808618540000001,80.858904
logistic,10000,2,0.5,0.7438,0.72,0.7319,0.809811660000001,80.978928
logistic,10000,2,0.6,0.7378,0.724,0.7309,0.811064840000003,81.105328
logistic,10000,2,0.7,0.752,0.7226,0.7373,0.814408960000002,81.436364
logistic,10000,2,0.8,0.752,0.7264,0.7392,0.818323199999997,81.830716
logistic,10000,2,0.9,0.755,0.7258,0.7404,0.817937220000002,81.791656
logistic,10000,2,1,0.7622,0.7246,0.7434,0.818738,81.872188
logistic,11000,1,0.1,0.740181818181818,0.728181818181818,0.734181818181818,0.811031636363636,81.0979107438016
logistic,11000,1,0.2,0.742909090909091,0.726545454545454,0.734727272727273,0.812986413223142,81.2972991735537
logistic,11000,1,0.3,0.746909090909091,0.726,0.736454545454545,0.81537705785124,81.5370578512397
logistic,11000,1,0.4,0.745818181818182,0.722727272727273,0.734272727272727,0.814167421487603,81.415120661157
logistic,11000,1,0.5,0.754181818181818,0.726909090909091,0.740545454545455,0.816311669421489,81.6303603305785
logistic,11000,1,0.6,0.743090909090909,0.731272727272727,0.737181818181818,0.817174446280989,81.7165983471074
logistic,11000,1,0.7,0.750181818181818,0.736363636363636,0.743272727272727,0.821345024793386,82.1327239669422
logistic,11000,1,0.8,0.747454545454545,0.731272727272727,0.739363636363636,0.816014247933883,81.6001454545455
logistic,11000,1,0.9,0.760363636363636,0.725636363636364,0.743,0.820542231404958,82.0529090909091
logistic,11000,1,1,0.741636363636364,0.734,0.737818181818182,0.817068280991735,81.7048694214876
logistic,11000,2,0.1,0.721818181818182,0.728909090909091,0.725363636363636,0.805643983471073,80.5617884297521
logistic,11000,2,0.2,0.728,0.729818181818182,0.728909090909091,0.806380694214879,80.6348
logistic,11000,2,0.3,0.733090909090909,0.723090909090909,0.728090909090909,0.807239752066122,80.7220561983471
logistic,11000,2,0.4,0.743090909090909,0.721636363636364,0.732363636363636,0.809489074380163,80.9460991735537
logistic,11000,2,0.5,0.728545454545454,0.727090909090909,0.727818181818182,0.809148909090907,80.9134776859504
logistic,11000,2,0.6,0.741272727272727,0.722363636363636,0.731818181818182,0.81089234710744,81.0875834710744
logistic,11000,2,0.7,0.744,0.723090909090909,0.733545454545455,0.811579322314048,81.1565917355372
logistic,11000,2,0.8,0.734,0.723454545454545,0.728727272727273,0.808894099173554,80.8873487603306
logistic,11000,2,0.9,0.736363636363636,0.73,0.733181818181818,0.811054578512399,81.1040297520661
logistic,11000,2,1,0.752909090909091,0.721636363636364,0.737272727272727,0.814678214876034,81.4669884297521
logistic,12000,1,0.1,0.734,0.720833333333333,0.727416666666667,0.80635908333333,80.632325
logistic,12000,1,0.2,0.737666666666667,0.721666666666667,0.729666666666667,0.80727698611111,80.72575
logistic,12000,1,0.3,0.739166666666667,0.720333333333333,0.72975,0.808057347222224,80.8038638888889
logistic,12000,1,0.4,0.739,0.720666666666667,0.729833333333333,0.808848249999997,80.8818888888889
