"samplesize","run","act_func","TPR","TNR","Accuracy","AUC","Concordance"
15000,1,Rectifier,0.6972,0.747733333333333,0.722466666666667,0.796653253333329,0.787827271111111
15000,1,Tanh,0.622533333333333,0.7636,0.693066666666667,0.755265893333333,0.755265884444444
15000,1,Maxout,0.59,0.7964,0.6932,0.781118195555547,0.781118186666667
15000,1,RectifierWithDropout,0.528933333333333,0.819866666666667,0.6744,0.772531031111106,0.772531022222222
15000,1,TanhWithDropout,0.800933333333333,0.574933333333333,0.687933333333333,0.688312373333333,0.461402471111111
15000,1,MaxoutWithDropout,0.509866666666667,0.829066666666667,0.669466666666667,0.768510906666665,0.768510897777778
15000,2,Rectifier,0.708266666666667,0.759333333333333,0.7338,0.807588497777769,0.80664672
15000,2,Tanh,0.563466666666667,0.8204,0.691933333333333,0.786461777777773,0.786461777777778
15000,2,Maxout,0.612533333333333,0.7816,0.697066666666667,0.77633525333333,0.776335253333333
15000,2,RectifierWithDropout,0.516533333333333,0.8352,0.675866666666667,0.771232799999999,0.7712328
15000,2,TanhWithDropout,0.77,0.587866666666667,0.678933333333333,0.678941875555556,0.452735715555556
15000,2,MaxoutWithDropout,0.502,0.827333333333333,0.664666666666667,0.757776266666666,0.757776266666667
15000,3,Rectifier,0.6392,0.768533333333333,0.703866666666667,0.780829671111103,0.780824711111111
15000,3,Tanh,0.515866666666667,0.8376,0.676733333333333,0.781695911111109,0.781695911111111
15000,3,Maxout,0.650266666666667,0.776,0.713133333333333,0.793469333333325,0.793469333333333
15000,3,RectifierWithDropout,0.567733333333333,0.801066666666667,0.6844,0.773332817777781,0.773332817777778
15000,3,TanhWithDropout,0.7864,0.587066666666667,0.686733333333333,0.686797351111111,0.461825742222222
15000,3,MaxoutWithDropout,0.6164,0.7248,0.6706,0.727957706666663,0.727957706666667
15000,4,Rectifier,0.650933333333333,0.783733333333333,0.717333333333333,0.80021745777777,0.800148337777778
15000,4,Tanh,0.514133333333333,0.797466666666667,0.6558,0.742605475555555,0.742605475555556
15000,4,Maxout,0.640133333333333,0.7884,0.714266666666667,0.799997155555552,0.799997155555556
15000,4,RectifierWithDropout,0.575066666666667,0.8108,0.692933333333333,0.772464177777774,0.772462808888889
15000,4,TanhWithDropout,0.00386666666666667,0.996533333333333,0.5002,0.674564977777778,0.446902826666667
15000,4,MaxoutWithDropout,0.525733333333333,0.817066666666667,0.6714,0.764615964444438,0.764615964444444
15000,5,Rectifier,0.6468,0.7844,0.7156,0.80285676444444,0.802856764444444
15000,5,Tanh,0.6504,0.7544,0.7024,0.773778204444447,0.773778204444444
15000,5,Maxout,0.5796,0.801733333333333,0.690666666666667,0.782054702222217,0.782054702222222
15000,5,RectifierWithDropout,0.594933333333333,0.802533333333333,0.698733333333333,0.784555555555554,0.781683822222222
15000,5,TanhWithDropout,0.7884,0.5884,0.6884,0.688667804444444,0.464626986666667
15000,5,MaxoutWithDropout,0.468266666666667,0.847733333333333,0.658,0.765572231111114,0.765572231111111
20000,1,Rectifier,0.5889,0.8027,0.6958,0.792869770000001,0.79286977
20000,1,Tanh,0.5369,0.8221,0.6795,0.778647710000004,0.77864771
20000,1,Maxout,0.5673,0.7978,0.68255,0.769311889999995,0.76931189
20000,1,RectifierWithDropout,0.5487,0.814,0.68135,0.774443960000002,0.77444396
