penalty,alpha,samplesize,run,TPR,TNR,Accuracy,AUC,Concordance
ridge,0,60000,1,0.779466667,0.6298,0.704633333,0.767641346,0.767641341
ridge,0,60000,2,0.7734,0.632033333,0.702716667,0.767724531,0.767724526
ridge,0,60000,3,0.777966667,0.630433333,0.7042,0.768058674,0.768058667
ridge,0,60000,4,0.775833333,0.630733333,0.703283333,0.768240902,0.768240897
ridge,0,60000,5,0.779233333,0.63,0.704616667,0.766708457,0.766708448
lasso,1,60000,1,0.783433333,0.629433333,0.706433333,0.768716421,0.768716417
lasso,1,60000,2,0.777433333,0.632566667,0.705,0.767673823,0.76767382
lasso,1,60000,3,0.774966667,0.6303,0.702633333,0.766635964,0.76663596
lasso,1,60000,4,0.780933333,0.629066667,0.705,0.768473607,0.768473602
lasso,1,60000,5,0.7821,0.629633333,0.705866667,0.77022014,0.770220133
ridge,0,70000,1,0.778857143,0.622028571,0.700442857,0.764513119,0.764513114
ridge,0,70000,2,0.778142857,0.632171429,0.705157143,0.767922232,0.767922226
ridge,0,70000,3,0.775257143,0.630428571,0.702842857,0.76603434,0.766034335
ridge,0,70000,4,0.775285714,0.633828571,0.704557143,0.767356717,0.767356711
ridge,0,70000,5,0.775657143,0.631942857,0.7038,0.765864104,0.765864099
lasso,1,70000,1,0.780342857,0.629885714,0.705114286,0.769480818,0.769480808
lasso,1,70000,2,0.781371429,0.625028571,0.7032,0.768159314,0.76815931
lasso,1,70000,3,0.779514286,0.630085714,0.7048,0.768072487,0.768072482
lasso,1,70000,4,0.780514286,0.630057143,0.705285714,0.768261393,0.768261387
lasso,1,70000,5,0.7754,0.634857143,0.705128571,0.769222154,0.769222147
ridge,0,80000,1,0.77825,0.6315,0.704875,0.768059814,0.768059809
ridge,0,80000,2,0.77705,0.630725,0.7038875,0.766626601,0.766626597
ridge,0,80000,3,0.775625,0.630625,0.703125,0.765490069,0.765490063
ridge,0,80000,4,0.780075,0.632175,0.706125,0.769367548,0.769367541
ridge,0,80000,5,0.776525,0.63315,0.7048375,0.768776386,0.768776378
lasso,1,80000,1,0.779075,0.6305,0.7047875,0.769614503,0.769614496
lasso,1,80000,2,0.780975,0.630575,0.705775,0.768792974,0.768792968
lasso,1,80000,3,0.7777,0.629275,0.7034875,0.76758828,0.767588276
lasso,1,80000,4,0.7785,0.6361,0.7073,0.769742363,0.76974236
lasso,1,80000,5,0.7778,0.632125,0.7049625,0.767487086,0.767486786
ridge,0,90000,1,0.779022222,0.630422222,0.704722222,0.767384873,0.767384867
ridge,0,90000,2,0.776777778,0.628,0.702388889,0.766068017,0.766068012
ridge,0,90000,3,0.775466667,0.633044444,0.704255556,0.767201028,0.767201023
ridge,0,90000,4,0.778355556,0.628177778,0.703266667,0.765554505,0.765554501
ridge,0,90000,5,0.778177778,0.631777778,0.704977778,0.768555194,0.768555189
lasso,1,90000,1,0.776711111,0.635444444,0.706077778,0.76928664,0.769286636
lasso,1,90000,2,0.7788,0.635244444,0.707022222,0.769603568,0.769603563
lasso,1,90000,3,0.7824,0.628377778,0.705388889,0.768823002,0.768822998
lasso,1,90000,4,0.7754,0.631333333,0.703366667,0.767471816,0.767471812
lasso,1,90000,5,0.779777778,0.633066667,0.706422222,0.768765525,0.768765519
ridge,0,1.00E+05,1,0.77636,0.63382,0.70509,0.767757071,NA
ridge,0,1.00E+05,2,0.77796,0.63088,0.70442,0.767487862,NA
ridge,0,1.00E+05,3,0.77948,0.6351,0.70729,0.768813079,NA
ridge,0,1.00E+05,4,0.77908,0.62832,0.7037,0.767218363,NA
ridge,0,1.00E+05,5,0.77336,0.63154,0.70245,0.765264571,NA
lasso,1,1.00E+05,1,0.77896,0.63132,0.70514,0.767097962,NA
lasso,1,1.00E+05,2,0.77582,0.63202,0.70392,0.766807111,NA
lasso,1,1.00E+05,3,0.77604,0.63094,0.70349,0.766726074,NA
lasso,1,1.00E+05,4,0.78144,0.63178,0.70661,0.769167455,NA
lasso,1,1.00E+05,5,0.77784,0.63298,0.70541,0.767146422,NA
